Game ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
76,2009-10-25,Getafe,Ath Bilbao,2,0,0,0,21,9,10,4,17,15,13,2,2,2,0,2
77,2009-10-25,Santander,Osasuna,1,1,0,0,12,5,4,2,21,20,6,5,1,5,0,0
78,2009-10-25,Tenerife,Xerez,1,0,0,0,22,7,4,1,12,11,10,3,1,1,0,0
79,2009-10-25,Valladolid,La Coruna,4,0,1,0,19,11,8,3,14,10,4,5,3,1,0,0
80,2009-10-25,Villarreal,Malaga,2,1,1,1,17,9,6,2,14,10,3,6,3,3,0,0
81,2009-10-31,Ath Bilbao,Ath Madrid,1,0,1,0,17,16,6,6,13,16,5,5,1,2,0,0
82,2009-10-31,Osasuna,Barcelona,1,1,0,0,9,16,3,7,15,10,4,7,1,3,0,0
83,2009-10-31,Real Madrid,Getafe,2,0,0,0,23,17,8,7,9,11,2,5,2,1,1,0
84,2009-10-31,Xerez,Sevilla,0,2,0,1,8,16,2,7,23,18,5,9,4,3,0,0
85,2009-11-01,Espanol,Valladolid,1,1,0,0,10,15,4,1,18,15,9,1,4,4,0,0
86,2009-11-01,La Coruna,Sp Gijon,1,1,1,0,14,13,4,5,14,10,10,3,2,3,0,0
87,2009-11-01,Malaga,Valencia,0,1,0,0,16,20,5,6,12,18,5,9,3,2,0,0
88,2009-11-01,Mallorca,Santander,1,0,1,0,17,10,6,3,17,19,4,1,1,1,0,0
89,2009-11-01,Villarreal,Tenerife,5,0,1,0,11,13,5,2,19,19,4,4,1,0,0,0
90,2009-11-01,Zaragoza,Almeria,2,1,2,1,21,12,6,4,26,29,8,1,5,5,0,0
91,2009-11-07,Ath Madrid,Real Madrid,2,3,0,2,18,15,8,6,16,18,7,4,3,4,0,1
92,2009-11-07,Barcelona,Mallorca,4,2,3,1,18,10,10,5,18,22,2,4,1,2,0,0
93,2009-11-07,Getafe,La Coruna,0,2,0,1,22,8,3,3,18,12,14,3,4,1,0,2
94,2009-11-07,Tenerife,Malaga,2,2,2,1,10,17,4,7,21,13,4,4,4,5,0,0
95,2009-11-08,Almeria,Osasuna,2,0,1,0,10,10,3,1,18,17,11,4,2,2,0,0
96,2009-11-08,Santander,Ath Bilbao,0,2,0,1,11,10,5,5,23,18,7,6,4,2,0,0
97,2009-11-08,Sevilla,Villarreal,3,2,1,1,15,5,6,3,17,16,11,6,2,2,0,0
98,2009-11-08,Sp Gijon,Espanol,1,0,1,0,14,11,3,2,15,17,5,5,3,3,0,0
99,2009-11-08,Valencia,Zaragoza,3,1,3,0,10,13,7,4,17,17,6,6,2,5,0,0
100,2009-11-08,Valladolid,Xerez,0,0,0,0,13,4,3,2,8,16,12,3,0,3,0,1
101,2009-11-21,Ath Bilbao,Barcelona,1,1,0,0,8,13,1,3,17,15,5,7,1,1,0,0
102,2009-11-21,La Coruna,Ath Madrid,2,1,1,1,22,14,11,5,13,25,9,3,3,3,0,1
103,2009-11-21,Real Madrid,Santander,1,0,1,0,20,8,9,0,11,20,7,0,2,3,0,0
104,2009-11-21,Tenerife,Sevilla,1,2,0,1,11,11,1,3,9,15,6,4,4,3,0,0
105,2009-11-22,Espanol,Getafe,0,2,0,0,14,11,3,4,13,15,7,3,2,4,0,0
106,2009-11-22,Malaga,Zaragoza,1,1,0,0,15,7,4,1,22,22,6,4,5,3,1,1
107,2009-11-22,Mallorca,Almeria,3,1,0,0,11,20,5,10,13,16,9,10,4,3,0,0
108,2009-11-22,Osasuna,Valencia,1,3,0,2,8,15,2,3,18,19,4,5,3,2,2,0
109,2009-11-22,Villarreal,Valladolid,3,1,1,0,13,13,6,5,8,20,7,6,1,2,0,0
110,2009-11-22,Xerez,Sp Gijon,0,0,0,0,10,5,3,2,10,11,12,1,2,2,0,0
111,2009-11-28,Sevilla,Malaga,2,2,0,2,13,9,6,4,20,31,5,4,4,4,0,1
112,2009-11-28,Sp Gijon,Villarreal,1,0,0,0,12,6,5,2,17,13,8,0,1,4,0,1
113,2009-11-28,Valencia,Mallorca,1,1,0,0,17,9,6,2,11,15,11,2,4,4,0,0
114,2009-11-29,Almeria,Ath Bilbao,1,4,0,2,13,17,5,7,28,13,6,3,3,4,0,0
